"index","request_bytes","response_bytes","checksum_valid"
86,86  0  160  0  1  0  8  170,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
87,87  0  160  0  1  0  8  85,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
88,88  0  160  0  1  0  8  84,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
89,89  0  160  0  1  0  8  87,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
90,90  0  160  0  1  0  8  86,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
91,91  0  160  0  1  0  8  81,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
92,92  0  160  0  1  0  8  80,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
93,93  0  160  0  1  0  8  83,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
94,94  0  160  0  1  0  8  82,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
95,95  0  160  0  1  0  8  93,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
96,96  0  160  0  1  0  8  92,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
97,97  0  160  0  1  0  8  95,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
98,98  0  160  0  1  0  8  94,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
99,99  0  160  0  1  0  8  89,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
100,100  0  160  0  1  0  8  88,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
101,101  0  160  0  1  0  8  91,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
102,102  0  160  0  1  0  8  90,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
103,103  0  160  0  1  0  8  69,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
104,104  0  160  0  1  0  8  68,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
105,105  0  160  0  1  0  8  71,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
106,106  0  160  0  1  0  8  70,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
107,107  0  160  0  1  0  8  65,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
108,108  0  160  0  1  0  8  64,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
109,109  0  160  0  1  0  8  67,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
110,110  0  160  0  1  0  8  66,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
